n,Stairs Ways,Formula (ways),Fibonacci F(n),Formula (fib),phi^n,psi^n
"Enter numbers 1,2,3...","=ROUND((POWER((1+SQRT(5))/2,A2+1)-POWER((1-SQRT(5))/2,A2+1))/SQRT(5),0)",Copy formula shown →,"=ROUND((POWER((1+SQRT(5))/2,A2)-POWER((1-SQRT(5))/2,A2))/SQRT(5),0)",Copy formula shown →,"=POWER((1+SQRT(5))/2,A2)","=POWER((1-SQRT(5))/2,A2)"
,,,,,,
n,Ways(n),= F(n+1),F(n),Ratio F(n)/F(n-1),φ^n,ψ^n
0,,,0,,1,1
1,1,F(2),1,,1.618034,-0.618034
2,2,F(3),1,1,2.618034,0.381966
3,3,F(4),2,2,4.236068,-0.236068
4,5,F(5),3,1.5,6.854102,0.145898
5,8,F(6),5,1.666667,11.09017,-0.09017
6,13,F(7),8,1.6,17.944272,0.055728
7,21,F(8),13,1.625,29.034442,-0.034442
8,34,F(9),21,1.615385,46.978714,0.021286
9,55,F(10),34,1.619048,76.013156,-0.013156
10,89,F(11),55,1.617647,122.991869,0.008131
11,144,F(12),89,1.618182,199.005025,-0.005025
12,233,F(13),144,1.617978,321.996894,0.003106
13,377,F(14),233,1.618056,521.001919,-0.001919
14,610,F(15),377,1.618026,842.998814,0.001186
15,987,F(16),610,1.618037,1364.000733,-0.000733
16,1597,F(17),987,1.618033,2206.999547,0.000453
17,2584,F(18),1597,1.618034,3571.00028,-0.00028
18,4181,F(19),2584,1.618034,5777.999827,0.000173
19,6765,F(20),4181,1.618034,9349.000107,-0.000107
20,10946,F(21),6765,1.618034,15126.999934,0.000066
21,17711,F(22),10946,1.618034,24476.000041,-0.000041
22,28657,F(23),17711,1.618034,39602.999975,0.000025
23,46368,F(24),28657,1.618034,64079.000016,-0.000016
24,75025,F(25),46368,1.618034,103681.99999,0.00001
25,121393,F(26),75025,1.618034,167761.000006,-0.000006
26,196418,F(27),121393,1.618034,271442.999996,0.000004
27,317811,F(28),196418,1.618034,439204.000002,-0.000002
28,514229,F(29),317811,1.618034,710646.999999,0.000001
29,832040,F(30),514229,1.618034,1149851.000001,-0.000001
30,1346269,F(31),832040,1.618034,1860497.999999,0.000001
